Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
K.-Adenauer-Ring 35 · 47167 Duisburg-Neumuehl,51.4950288,6.810971,47167,471,51.462389,6.733861,6.456693097
Hochdahler Straße 127 · 40724 Hilden,51.1836272,6.93904,40724,407,51.169791,6.936066,1.552420752
Hauptstraße 132 · 53797 Lohmar,50.8349783,7.2072617,53797,537,50.799617,7.195785,4.013809486
Schoenbornstraße 36 · 63741 Aschaffenburg,49.9862819,9.1583809,63741,637,49.973467,9.150821,1.524041165
Schillerstraße 58 · 63741 Aschaffenburg,49.9855777,9.1368296,63741,637,49.973467,9.150821,1.677610412
Allmannshausen 12 · 56410 Montabaur,50.441462,7.833087,56410,564,50.447712,7.850348,1.406039739
An der Burg Sülz 2 · 53797 Lohmar Burg Sülz,50.8410574,7.2027793,53797,537,50.799617,7.195785,4.634083042
Kölner Straße 47 · 51503 Rösrath,50.9062084,7.1864457,51503,515,50.869101,7.59962,29.2749465
Birkenweg 2 · 51503 Roesrath,50.8992275,7.1647046,51503,515,50.869101,7.59962,30.69340543
Hauptstraße 7 · 53797 Lohmar,50.8349783,7.2072617,53797,537,50.799617,7.195785,4.013809486
Am Forsthaus Gravenbruch 1 · 63263 Neu-Isenburg,50.0601005,8.7440601,63263,632,49.994889,8.677389,8.67535643
Haupstraße 84a · 53797 Lohmar,50.8349783,7.2072617,53797,537,50.799617,7.195785,4.013809486
Kölner Straße 93 · 51503 Rösrath,50.9062084,7.1864457,51503,515,50.869101,7.59962,29.2749465
Roesrather Straße 724 · 51107 Koeln,50.9210003,7.0928926,51107,511,50.94013,7.02626,5.131386649
Berliner Straße 111 · 51063 Köln,50.9788352,7.0206573,51063,510,51.002995,6.974744,4.18851703
Alleestraße 18 · 56410 Montabaur,50.4396563,7.8309008,56410,564,50.447712,7.850348,1.642807445
Bergische Landstraße 605 · 40629 Düsseldorf,51.260612,6.9086418,40629,406,51.215981,6.966963,6.411995889
